Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Valeur
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2580","Huile d'Olive","2013","2013","2"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2582","Huile de Germe de Maïs","2013","2013","1"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2586","Huil Plantes Oleif Autr","2013","2013","4"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2601","Tomates","2013","2013","185"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2602","Oignons","2013","2013","94"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2605","Légumes, Autres","2013","2013","498"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2611","Oranges, Mandarines","2013","2013","40"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2612","Citrons & Limes","2013","2013","5"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2613","Pamplemousse","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2614","Agrumes, Autres","2013","2013","1"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2615","Bananes","2013","2013","20"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2616","Bananes plantains","2013","2013","1"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2617","Pommes","2013","2013","78"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2618","Ananas","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2619","Dattes","2013","2013","12"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2620","Raisin","2013","2013","153"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2625","Fruits, Autres","2013","2013","141"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2630","Café","2013","2013","8"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2633","Feve de Cacao","2013","2013","2"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2635","Thé","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2640","Poivre","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2641","Piments","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2645","Épices, Autres","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2655","Vin","2013","2013","25"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2656","Bière","2013","2013","86"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2657","Boissons Fermentés","2013","2013","0"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2658","Boissons Alcooliques","2013","2013","8"
"FBS","Bilans Alimentaires","3","Albanie","5142","Nourriture","2680","Aliments pour enfants","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2511","Blé","2013","2013","7270"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","117"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2513","Orge","2013","2013","517"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2514","Maïs","2013","2013","627"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2515","Seigle","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2516","Avoine","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2518","Sorgho","2013","2013","3"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2520","Céréales, Autres","2013","2013","1"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2532","Manioc","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2531","Pommes de Terre","2013","2013","2540"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2534","Racines, Nda","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2542","Sucre Eq Brut","2013","2013","1089"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2543","Edulcorants Autres","2013","2013","24"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2745","Miel","2013","2013","7"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2546","Haricots","2013","2013","61"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2547","Pois","2013","2013","18"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2549","Légumineuses Autres","2013","2013","247"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2551","Noix","2013","2013","71"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2555","Soja","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2556","Arachides Decortiquees","2013","2013","11"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2558","Graines Colza/Moutarde","2013","2013","1"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2560","Coco (Incl Coprah)","2013","2013","3"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2561","Sésame","2013","2013","5"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2562","Palmistes","2013","2013","0"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2563","Olives","2013","2013","191"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2571","Huile de Soja","2013","2013","293"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2572","Huile d'Arachide","2013","2013","20"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2573","Huile de Tournesol","2013","2013","77"
"FBS","Bilans Alimentaires","4","Algérie","5142","Nourriture","2574","Huile de Colza&Moutarde","2013","2013","18"
