Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1414","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","49","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","2300","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","65","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","435","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1602","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","43","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","59","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","29","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","790","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","231","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","564","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1077","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","52","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","146","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","447","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","158","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","119","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","71","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","99","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","201","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","208","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","220","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","160","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","378","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","293","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","174","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","15","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","429","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","135","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2732","Viande d'Ovins/Caprins","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2733","Viande de Suides","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2734","Viande de Volailles","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5142","Nourriture","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5142","Nourriture","2731","Viande de Bovins","2013","2013","Milliers de tonnes","32","S","Données standardisées"
