Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","7","Angola","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","2579","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1039","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","599","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","104","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","86","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4273","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","364","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","433","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","389","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","1645","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","258","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","115","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","689","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","105","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","103","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","2093","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","125","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","15","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","2736","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","26892","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","125","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","566","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","30","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","5","S","Données standardisées"
